13,Atrial_fibrillation,Cardiac disorders,1901
16,Myocardial_infarction,Cardiac disorders,1823
17,Diarrhoea,Cardiac disorders,1754
28,Back_pain,Cardiac disorders,1299
35,Thrombocytopenia,Cardiac disorders,1206
41,Acute_myocardial_infarction,Cardiac disorders,1167
51,Cardiac_failure,Cardiac disorders,1004
55,Pancreatitis,Cardiac disorders,932
57,Cardiac_arrest,Cardiac disorders,913
81,Dyspnea,Cardiac disorders,687
82,Intervertebral_disc_protrusion,Cardiac disorders,681
84,Pneumonitis,Cardiac disorders,659
88,Bradycardia,Cardiac disorders,633
109,Myocardial_ischaemia,Cardiac disorders,564
119,Acute_coronary_syndrome,Cardiac disorders,526
121,Cardio-respiratory_arrest,Cardiac disorders,523
125,Supraventricular_tachycardia,Cardiac disorders,507
126,Atrial_flutter,Cardiac disorders,506
128,Arrhythmia,Cardiac disorders,504
132,Tachycardia,Cardiac disorders,490
,,,18279
